time_iso8601,stars_cumulative
2023-08-16 00:00:00+00:00,457
2023-08-17 00:00:00+00:00,459
2023-08-18 00:00:00+00:00,460
2023-08-20 00:00:00+00:00,461
2023-08-21 00:00:00+00:00,462
2023-08-23 00:00:00+00:00,463
2023-08-24 00:00:00+00:00,464
2023-08-25 00:00:00+00:00,466
2023-08-28 00:00:00+00:00,467
2023-08-31 00:00:00+00:00,470
2023-09-02 00:00:00+00:00,471
2023-09-05 00:00:00+00:00,474
2023-09-06 00:00:00+00:00,476
2023-09-10 00:00:00+00:00,478
2023-09-11 00:00:00+00:00,480
2023-09-14 00:00:00+00:00,481
2023-09-16 00:00:00+00:00,482
2023-09-18 00:00:00+00:00,483
2023-09-19 00:00:00+00:00,488
2023-09-22 00:00:00+00:00,489
2023-09-25 00:00:00+00:00,490
2023-09-26 00:00:00+00:00,491
2023-09-28 00:00:00+00:00,492
2023-09-30 00:00:00+00:00,493
2023-10-03 00:00:00+00:00,494
2023-10-04 00:00:00+00:00,497
2023-10-06 00:00:00+00:00,498
2023-10-10 00:00:00+00:00,499
2023-10-17 00:00:00+00:00,500
2023-10-24 00:00:00+00:00,501
2023-10-27 00:00:00+00:00,502
2023-10-28 00:00:00+00:00,503
2023-11-02 00:00:00+00:00,504
2023-11-06 00:00:00+00:00,505
2023-11-07 00:00:00+00:00,508
2023-11-09 00:00:00+00:00,509
2023-11-10 00:00:00+00:00,511
2023-11-13 00:00:00+00:00,513
2023-11-14 00:00:00+00:00,514
2023-11-19 00:00:00+00:00,515
2023-11-23 00:00:00+00:00,516
2023-11-30 00:00:00+00:00,517
2023-12-01 00:00:00+00:00,518
2023-12-02 00:00:00+00:00,519
2023-12-03 00:00:00+00:00,521
2023-12-04 00:00:00+00:00,522
2023-12-07 00:00:00+00:00,523
2023-12-13 00:00:00+00:00,524
2023-12-15 00:00:00+00:00,525
2023-12-16 00:00:00+00:00,526
2023-12-18 00:00:00+00:00,527
2023-12-21 00:00:00+00:00,528
2023-12-24 00:00:00+00:00,529
2023-12-25 00:00:00+00:00,530
2023-12-28 00:00:00+00:00,531
2024-01-08 00:00:00+00:00,532
2024-01-09 00:00:00+00:00,533
2024-01-16 00:00:00+00:00,538
2024-01-17 00:00:00+00:00,539
2024-01-18 00:00:00+00:00,540
2024-01-22 00:00:00+00:00,541
2024-01-29 00:00:00+00:00,543
2024-01-30 00:00:00+00:00,544
2024-02-01 00:00:00+00:00,546
2024-02-02 00:00:00+00:00,547
2024-02-06 00:00:00+00:00,548
2024-02-07 00:00:00+00:00,549
2024-02-13 00:00:00+00:00,551
2024-02-15 00:00:00+00:00,552
2024-02-16 00:00:00+00:00,554
2024-02-20 00:00:00+00:00,555
2024-02-21 00:00:00+00:00,557
2024-02-22 00:00:00+00:00,558
2024-02-23 00:00:00+00:00,559
2024-02-24 00:00:00+00:00,560
2024-02-26 00:00:00+00:00,561
2024-02-27 00:00:00+00:00,562
2024-03-06 00:00:00+00:00,564
2024-03-08 00:00:00+00:00,565
2024-03-13 00:00:00+00:00,566
2024-03-17 00:00:00+00:00,567
2024-03-20 00:00:00+00:00,568
2024-03-21 00:00:00+00:00,570
2024-03-22 00:00:00+00:00,574
